"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestItemRepository","8","TestItemRepository","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/repository/item/TestItemRepository","TestItemRepository"
"Test cases for TestSetSession","0","TestSetSession","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/cookie/TestSetSession","TestSetSession"
"Test cases for TestCartRepository","3","TestCartRepository","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/repository/cart/TestCartRepository","TestCartRepository"
"Test cases for TestForbidden","0","TestForbidden","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestForbidden","TestForbidden"
"Test cases for TestOK","0","TestOK","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestOK","TestOK"
"Test cases for TestUserSuite","311","TestUserSuite","","Fri Oct 24 22:46:09 UTC 2025","passed","Fri Oct 24 22:46:09 UTC 2025","","Unit","github.com/b0pof/ppo/internal/usecase/user/TestUserSuite","TestUserSuite"
"Test cases for TestOrderRepository","4","TestOrderRepository","","Fri Oct 24 22:46:08 UTC 2025","passed","Fri Oct 24 22:46:08 UTC 2025","","Unit","github.com/b0pof/ppo/internal/repository/order/TestOrderRepository","TestOrderRepository"
"Test cases for TestUserRepository","9","TestUserRepository","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/repository/user/TestUserRepository","TestUserRepository"
"Test cases for TestItemSuite","2","TestItemSuite","","Fri Oct 24 22:46:08 UTC 2025","passed","Fri Oct 24 22:46:08 UTC 2025","","Unit","github.com/b0pof/ppo/internal/usecase/item/TestItemSuite","TestItemSuite"
"Test cases for TestEqual","0","TestEqual","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/password/TestEqual","TestEqual"
"Test cases for TestUnauthorized","0","TestUnauthorized","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestUnauthorized","TestUnauthorized"
"Test cases for TestAuthSuite","152","TestAuthSuite","","Fri Oct 24 22:46:08 UTC 2025","passed","Fri Oct 24 22:46:08 UTC 2025","","Unit","github.com/b0pof/ppo/internal/usecase/auth/TestAuthSuite","TestAuthSuite"
"Test cases for TestBadRequest","0","TestBadRequest","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestBadRequest","TestBadRequest"
"Test cases for TestWithRole","0","TestWithRole","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/auth/TestWithRole","TestWithRole"
"Test cases for TestGetUserID","0","TestGetUserID","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/auth/TestGetUserID","TestGetUserID"
"Test cases for TestCartSuite","1","TestCartSuite","","Fri Oct 24 22:46:08 UTC 2025","passed","Fri Oct 24 22:46:08 UTC 2025","","Unit","github.com/b0pof/ppo/internal/usecase/cart/TestCartSuite","TestCartSuite"
"Test cases for TestGetRole","0","TestGetRole","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/auth/TestGetRole","TestGetRole"
"Test cases for TestGetSession","0","TestGetSession","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/cookie/TestGetSession","TestGetSession"
"Test cases for TestHash","0","TestHash","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/password/TestHash","TestHash"
"Test cases for TestOrderSuite","1","TestOrderSuite","","Fri Oct 24 22:46:08 UTC 2025","passed","Fri Oct 24 22:46:08 UTC 2025","","Unit","github.com/b0pof/ppo/internal/usecase/order/TestOrderSuite","TestOrderSuite"
"Test cases for TestWithUserID","0","TestWithUserID","","Fri Oct 24 22:46:07 UTC 2025","passed","Fri Oct 24 22:46:07 UTC 2025","","Unit","github.com/b0pof/ppo/internal/util/auth/TestWithUserID","TestWithUserID"
